Starting training...

Epoch 1/700
Epoch 5 completed in 1.9s - Avg loss: 3.5566

Epoch 6/700
[1/21] Loss: 3.4287 | Step: 0.03s | ETA: 1s | 4.8%
[2/21] Loss: 3.7438 | Step: 0.03s | ETA: 1s | 9.5%
[3/21] Loss: 3.4551 | Step: 0.03s | ETA: 1s | 14.3%
[4/21] Loss: 3.6191 | Step: 0.04s | ETA: 1s | 19.0%
[5/21] Loss: 3.5186 | Step: 0.03s | ETA: 1s | 23.8%
[6/21] Loss: 3.5212 | Step: 0.03s | ETA: 0s | 28.6%
[7/21] Loss: 3.2251 | Step: 0.03s | ETA: 0s | 33.3%
[8/21] Loss: 3.6065 | Step: 0.03s | ETA: 0s | 38.1%
[9/21] Loss: 3.8736 | Step: 0.03s | ETA: 0s | 42.9%
[10/21] Loss: 3.5517 | Step: 0.03s | ETA: 0s | 47.6%
[11/21] Loss: 3.4884 | Step: 0.03s | ETA: 0s | 52.4%
[12/21] Loss: 3.3973 | Step: 0.03s | ETA: 0s | 57.1%
[13/21] Loss: 3.7099 | Step: 0.03s | ETA: 0s | 61.9%
[14/21] Loss: 3.7192 | Step: 0.03s | ETA: 0s | 66.7%
[15/21] Loss: 3.4616 | Step: 0.03s | ETA: 0s | 71.4%
[16/21] Loss: 3.4572 | Step: 0.03s | ETA: 0s | 76.2%
[17/21] Loss: 3.7572 | Step: 0.04s | ETA: 0s | 81.0%
[18/21] Loss: 3.6003 | Step: 0.03s | ETA: 0s | 85.7%
[19/21] Loss: 3.6192 | Step: 0.03s | ETA: 0s | 90.5%
[20/21] Loss: 3.6260 | Step: 0.03s | ETA: 0s | 95.2%
[21/21] Loss: 3.3173 | Step: 0.03s | ETA: 0s | 100.0%
Epoch 6 completed in 1.9s - Avg loss: 3.5570

Epoch 7/700
[1/21] Loss: 3.6505 | Step: 0.04s | ETA: 1s | 4.8%
[2/21] Loss: 3.5179 | Step: 0.04s | ETA: 1s | 9.5%
[3/21] Loss: 3.4556 | Step: 0.04s | ETA: 1s | 14.3%
[4/21] Loss: 3.6334 | Step: 0.04s | ETA: 1s | 19.0%
[5/21] Loss: 3.7196 | Step: 0.04s | ETA: 1s | 23.8%
[6/21] Loss: 3.4599 | Step: 0.04s | ETA: 1s | 28.6%
[7/21] Loss: 3.7120 | Step: 0.04s | ETA: 1s | 33.3%
[8/21] Loss: 3.5312 | Step: 0.04s | ETA: 1s | 38.1%
[9/21] Loss: 3.2366 | Step: 0.04s | ETA: 0s | 42.9%
[10/21] Loss: 3.4985 | Step: 0.04s | ETA: 0s | 47.6%
